DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD= Rt,RESM,SP,TENS,,porosity,log rt,calculated log rt,,,
322.7832,20,19.6869,2.1347,0.0322931,140.3399,58.2109,0.419563,30.4951,28.783,56.1622,222.2974,0.5153,0.31230303,1.484230062,-2.577997708,,,
322.9356,20,19.8239,2.1524,0.0481028,140.4921,57.8786,0.430035,30.048,29.7753,56.2765,223.1918,0.4976,0.301575758,1.477815571,-2.638716791,,,
323.088,20,19.6332,2.1555,0.0464817,140.3232,57.5311,0.438552,30.3256,29.912,56.1696,223.7385,0.4945,0.29969697,1.481809402,-2.649573094,,,
323.2404,20,19.2026,2.1479,0.0321044,139.9191,57.1724,0.445639,31.1334,29.4224,55.9007,224.0306,0.5021,0.30430303,1.493226551,-2.623077392,,,
323.3928,20,18.7719,2.1402,0.017727,139.5152,56.8137,0.452726,31.9413,28.9329,55.6318,224.3228,0.5098,0.308969697,1.504352588,-2.596638953,,,
323.5452,20,18.4491,2.1349,0.0102417,139.3678,56.621,0.454026,32.314,28.4614,55.2769,224.5282,0.5151,0.312181818,1.509390721,-2.578672078,,,
323.6976,20,18.3818,2.135,0.0191018,139.829,56.8218,0.441605,31.6549,28.0328,54.7179,224.5282,0.515,0.312121212,1.500440946,-2.579009361,,,
323.85,20,18.3144,2.1351,0.027962,140.2902,57.0226,0.429183,30.9957,27.6043,54.159,224.5282,0.5149,0.312060606,1.491301449,-2.57934671,,,
324.0024,20,18.2482,2.1353,0.0365626,140.7406,57.3001,0.417031,30.3506,27.1815,53.6082,224.5253,0.5147,0.311939394,1.482167281,-2.580021605,,,
324.1548,20,18.2491,2.1376,0.0289411,140.5217,62.371,0.42168,30.5801,27.1236,53.5666,224.3421,0.5124,0.310545455,1.485438901,-2.587801793,,,
324.3072,20,18.25,2.14,0.0213196,140.3026,67.4418,0.426329,30.8095,27.0657,53.525,224.1588,0.51,0.309090909,1.48868465,-2.595957573,,,
324.4596,20,18.2509,2.1423,0.0136981,140.0836,72.5127,0.430978,31.039,27.0078,53.4833,223.9756,0.5077,0.30769697,1.491907721,-2.603809624,,,
324.612,20,18.3787,2.1472,0.0216217,139.6077,71.1037,0.437372,31.2791,27.216,53.3585,224.339,0.5028,0.304727273,1.495254249,-2.620657202,,,
324.7644,20,18.5522,2.1531,0.0351525,139.0391,67.3573,0.444394,31.5231,27.5202,53.2037,224.8997,0.4969,0.301151515,1.49862892,-2.641162291,,,
324.9168,20,18.7257,2.1589,0.0486834,138.4705,63.6109,0.451416,31.767,27.8244,53.0489,225.4603,0.4911,0.297636364,1.501976203,-2.661558541,,,
325.0692,20,18.7809,2.1524,0.0539271,138.2807,61.7808,0.451275,31.9152,28.0894,52.973,225.595,0.4976,0.301575758,1.50399757,-2.638716791,,,
325.2216,20,18.6939,2.1311,0.0492072,138.5463,62.2548,0.442522,31.9483,28.3073,52.992,225.2176,0.5189,0.314484848,1.504447754,-2.565903595,,,
325.374,20,18.6068,2.1097,0.0444873,138.8119,62.7287,0.433768,31.9814,28.5253,53.011,224.8402,0.5403,0.327454545,1.504897471,-2.495698407,,,
325.5264,20,18.5365,2.0939,0.0407259,138.8771,62.5112,0.427135,32.079,28.7181,52.9689,224.5282,0.5561,0.337030303,1.506220822,-2.445626697,,,
325.6788,20,18.5464,2.1046,0.0415392,137.9859,58.9932,0.43062,32.4846,28.7913,52.6348,224.5282,0.5454,0.330545455,1.511677523,-2.479377743,,,
325.8312,20,18.5563,2.1153,0.0423525,137.0947,55.4753,0.434106,32.8901,28.8644,52.3007,224.5282,0.5347,0.324060606,1.517065194,-2.513797541,,,
